wheelchair,wheelchair,abandoned:highway
waterway,waterway,KSJ2:AdminArea
water,water,postal_code:source
voltage,voltage,lbcs:function:code
vehicle,vehicle,source:wheelchair
trees,usage,strazakosm:send_date
transformer,type,source:user
tracks,tunnel,source:version
,trees,source:ref
,transformer,source:postal_code
,trailblazed,source:position
,trail_visibility,area:highway
,traffic_sign,source:name:oc
,tracktype,source:name
,tracks,source:maxaxleload
,traces,source:lit
,tourism,addr:quarter
,toll,source:ja
,toilets,source:hgv:state_network
,tidal,addr:full
,tents,source:file
,taxon,source:en
,takeaway,massgis:IT_VALC
,tactile_paving,source:alt_name
,surveillance,siruta:county_code
,surface,note:cadastre:id
,substation,openGeoDB:population
,substance,shape:plan
,structure_gauge,genus:it
,structure,seamark:source
,street_cabinet,seamark:rock:water_level
,stream,payment:cash
,stop,seamark:light:range
,start_date,seamark:notice:category
,stars,seamark:light:colour
,sport,seamark:light:character
,species,source:prow_ref
,source_ref,seamark:distance_mark:category
,source,seamark:buoy_lateral:shape
,trolleybus,memorial:text
,unisex,seamark:buoy_lateral:colour
,trolley_wire,seamark:buoy_lateral:category
,triangulation_point,seamark:beacon_lateral:system
,craft,seamark:beacon_isolated_danger:shape
,support,ref:addr
,entrance,school:ML:cap
,fixme,addr2:street
,indoor,species:de
,icao,roof:shape
,denotation,roof:orientation:compass
,source_date,scvwd:ROUTEID
,min_height,roof:levels
,place,roof:colour
,aeroway,ref:lor
,amenity,ref:zh
,fax,NHD:FCode
,old_ref_legislative,ref:ruian:building
,location,ref:penndot
,horse,ref:old
,gauge,ref:nsrq
,landuse,ref:findr
,salt,sangis:TYPE
,emergency_telephone_code,massgis:FEE_OWNER
,smoking,gnis:fcode
,site_type,LandPro08:LCLU
,site_name,ref:NUM_ILOT
,site,ref:INSPIRE
,building,ref:IFOPT
,sidewalk,species:nl
,shelter_type,ref:FR:commune
,shelter,ref:FR:LaPoste
,converted_by,ref:FR:Grenoble:trees
,service,ref:FR:FANTOIR
,station,siruta:name_sup
,HFCS,source:ro
,natural,redwood_city_ca:bld_gid
,moped,rednap:nodo
,door,okato:user
,mapper,ref:bgt:bronhouder
,office,source:postcode
,history,dcgis:square
,seamark,gnis:county_id
,produce,railway:switch
,circumference,railway:signal:shunting:states
,sac_scale,b5m:urlOrto
,leisure,addr:unit
,ruins,railway:signal:shunting:form
,route,railway:signal:position
,route_master,railway:signal:main:substitute_signal
,rooms,railway:signal:main:states
,man_made,description:en
,barrier,ref:fgkz
,motorcar,railway:signal:distant:height
,power,railway:signal:distant
,residential,railway:ref
,handrail,railway:rail
,playground,railway:milestone:emergency_brake_override
,age,railway:milestone:catenary_mast
,capacity,railway:lzb
,map_size,railway:bidirectional
,survey_point,railway:ballastless
