,latitude,longitude,address,bathrooms,country,detailedType,distance,district,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,municipality,neighborhood,newDevelopment,numPhotos,operation,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url,parkingSpace
13,44.405394,8.936981,Via Fieschi,1,it,{'typology': 'flat'},155,Centro Est,0,-2495258,6,0,0,1,1,0,Genova,Carignano,0,37,sale,90000,3600,16943539,flat,Genova,2,0,25,,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Fieschi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/14/77/31/205625645.jpg,https://www.idealista.it/immobile/16943539/,0
14,44.404727,8.93627,Via fieschi s.c.n,2,it,{'typology': 'flat'},162,Centro Est,0,,1,0,0,1,0,0,Genova,Carignano,0,10,sale,280000,1931,15736910,flat,Genova,6,1,145,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3c/7c/9f/182762948.jpg,https://www.idealista.it/immobile/15736910/,0
15,44.403535,8.93641,Piazza Santa Maria in Via Lata s.c.n,1,it,{'typology': 'flat'},168,Centro Est,0,01-Lata 120mq,6,0,0,1,1,0,Genova,Carignano,0,20,sale,440000,3667,17510485,flat,Genova,6,1,120,,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Piazza Santa Maria in Via Lata s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/98/42/2a/217199148.jpg,https://www.idealista.it/immobile/17510485/,0
16,44.404396,8.936082,Via fieschi s.c.n,1,it,{'typology': 'flat'},170,Centro Est,0,-54358879,4,0,0,1,0,0,Genova,Carignano,0,11,sale,155000,1615,13422540,flat,Genova,4,1,96,renew,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/76/ec/00/132408242.jpg,https://www.idealista.it/immobile/13422540/,1
17,44.404459,8.940398,Vico san vincenzo,1,it,{'typology': 'flat'},172,Centro Est,0,V034 (1373658),1,0,0,0,0,0,Genova,San Vincenzo-Portoria,0,18,sale,105000,2625,17687261,flat,Genova,2,0,40,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Vico san vincenzo'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/34/47/221093016.jpg,https://www.idealista.it/immobile/17687261/,0
18,44.405693,8.937081,quartiere Carignano,2,it,{'typology': 'flat'},177,Centro Est,0,-2576854,7,0,0,1,1,0,Genova,Carignano,0,18,sale,420000,4200,17727323,flat,Genova,6,0,100,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/33/53/8b/221813549.jpg,https://www.idealista.it/immobile/17727323/,0
19,44.405703,8.939601,"Via XX Settembre, Genova, GE s.c.n",2,it,{'typology': 'flat'},188,Centro Est,0,,5,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,0,sale,420000,1654,16279321,flat,Genova,11,1,254,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via XX Settembre, Genova, GE s.c.n'}",,https://www.idealista.it/immobile/16279321/,0
20,44.404195,8.940637,Via Anton Maria Maragliano s.c.n,2,it,{'typology': 'flat'},191,Centro Est,0,2117 (2426336),5,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,15,sale,440000,2000,16210293,flat,Genova,6,1,220,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Anton Maria Maragliano s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/cd/77/95/192160965.jpg,https://www.idealista.it/immobile/16210293/,0
21,44.405915,8.937047,Via fieschi s.c.n,1,it,{'typology': 'flat'},200,Centro Est,0,2303,5,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,7,sale,295000,1686,10694447,flat,Genova,10,1,175,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via fieschi s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a9/7b/7a/78389291.jpg,https://www.idealista.it/immobile/10694447/,0
22,44.402549,8.937608,"Via Galeazzo Alessi, 3",2,it,{'typology': 'flat'},203,Centro Est,0,venditaalessi,5,0,0,1,1,0,Genova,Carignano,0,25,sale,495000,2250,17246798,flat,Genova,9,1,220,good,"{'subtitle': 'Carignano, Genova', 'title': 'Appartamento in Via Galeazzo Alessi, 3'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/fc/ab/db/211783396.jpg,https://www.idealista.it/immobile/17246798/,0
23,44.40535,8.940359,quartiere San Vincenzo-Portoria,2,it,{'typology': 'flat'},204,Centro Est,0,CENTRO (55142959),2,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,21,sale,378000,1718,16992832,flat,Genova,7,0,220,renew,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/83/9c/06/206552617.jpg,https://www.idealista.it/immobile/16992832/,0
24,44.40595,8.939459,Via XX Settembre s.c.n,2,it,{'typology': 'flat'},205,Centro Est,0,2123 (2417211),4,0,0,1,1,0,Genova,San Vincenzo-Portoria,0,16,sale,490000,2227,16128193,flat,Genova,6,1,220,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via XX Settembre s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/5f/79/04/190618033.jpg,https://www.idealista.it/immobile/16128193/,0
25,44.406027,8.93717,Via Fieschi,2,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",207,Centro Est,0,ATTICO VIA FIESCHI (2472441),7,0,0,1,1,0,Genova,Carignano,0,13,sale,550000,3929,16712726,penthouse,Genova,5,0,140,good,"{'subtitle': 'Carignano, Genova', 'title': 'Attico in Via Fieschi'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/78/68/bd/201256522.jpg,https://www.idealista.it/immobile/16712726/,0
26,44.404617,8.940849,Via Anton Maria Maragliano s.c.n,2,it,{'typology': 'flat'},210,Centro Est,0,748-002-00136,5,0,0,1,0,0,Genova,San Vincenzo-Portoria,0,10,sale,440000,2378,10584225,flat,Genova,9,1,185,good,"{'subtitle': 'San Vincenzo-Portoria, Genova', 'title': 'Appartamento in Via Anton Maria Maragliano s.c.n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a4/19/4f/76509680.jpg,https://www.idealista.it/immobile/10584225/,0
27,44.402694,8.939743,quartiere Carignano,2,it,"{'subTypology': 'penthouse', 'typology': 'flat'}",217,Centro Est,0,-54823802,0,0,0,1,1,0,Genova,Carignano,0,21,sale,549000,3921,14759357,penthouse,Genova,6,0,140,good,"{'subtitle': 'Carignano, Genova', 'title': 'Attico'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/a1/d1/a0/160362117.jpg,https://www.idealista.it/immobile/14759357/,1
28,44.404981,8.935618,quartiere Prè-Molo-Maddalena,1,it,{'typology': 'flat'},220,Centro Est,0,-55240678,3,0,0,,1,0,Genova,Prè-Molo-Maddalena,0,15,sale,245000,2722,17780153,flat,Genova,4,0,90,good,"{'subtitle': 'Prè-Molo-Maddalena, Genova', 'title': 'Appartamento'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/e7/a7/ea/222853474.jpg,https://www.idealista.it/immobile/17780153/,0
