id,json,longitude,latitude
11806012,"{""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 4, ""exterior"": false, ""neighborhood"": ""San Vincenzo-Portoria"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": true, ""size"": 115.0, ""suggestedTexts"": {""subtitle"": ""San Vincenzo-Portoria, Genova"", ""title"": ""Appartamento in Via Giuseppe Macaggi""}, ""district"": ""Centro Est"", ""numPhotos"": 14, ""hasVideo"": false, ""propertyCode"": ""11806012"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/0b/cc/e3/165238540.jpg"", ""province"": ""Genova"", ""price"": 175000.0, ""address"": ""Via Giuseppe Macaggi"", ""externalReference"": ""Centro Macaggi (61703246)"", ""distance"": ""140"", ""url"": ""https://www.idealista.it/immobile/11806012/"", ""country"": ""it"", ""priceByArea"": 1522.0, ""showAddress"": false}",8.939499,44.403437
15778783,"{""status"": ""good"", ""has360"": false, ""bathrooms"": 2, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 8, ""exterior"": false, ""neighborhood"": ""San Vincenzo-Portoria"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": false, ""size"": 262.0, ""suggestedTexts"": {""subtitle"": ""San Vincenzo-Portoria, Genova"", ""title"": ""Appartamento in Via XX Settembre""}, ""district"": ""Centro Est"", ""floor"": ""3"", ""numPhotos"": 29, ""hasVideo"": false, ""propertyCode"": ""15778783"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/f9/34/26/183463448.jpg"", ""province"": ""Genova"", ""price"": 690000.0, ""address"": ""Via XX Settembre"", ""externalReference"": ""1674473 (1674473)"", ""distance"": ""145"", ""url"": ""https://www.idealista.it/immobile/15778783/"", ""country"": ""it"", ""priceByArea"": 2634.0, ""showAddress"": false}",8.940059,44.40435
17116274,"{""status"": ""renew"", ""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 5, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": true, ""size"": 83.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento in Via Fieschi s.c.n""}, ""district"": ""Centro Est"", ""floor"": ""5"", ""numPhotos"": 19, ""hasVideo"": true, ""propertyCode"": ""17116274"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/c1/e6/83/209669355.jpg"", ""parkingSpace"": {""parkingSpacePrice"": 35000.0, ""hasParkingSpace"": true, ""isParkingSpaceIncludedInPrice"": false}, ""province"": ""Genova"", ""price"": 158000.0, ""address"": ""Via Fieschi s.c.n"", ""externalReference"": ""08665"", ""distance"": ""149"", ""url"": ""https://www.idealista.it/immobile/17116274/"", ""country"": ""it"", ""priceByArea"": 1904.0, ""showAddress"": true}",8.936351,44.404314
16943539,"{""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 2, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": true, ""size"": 25.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento in Via Fieschi""}, ""district"": ""Centro Est"", ""floor"": ""6"", ""numPhotos"": 37, ""hasVideo"": false, ""propertyCode"": ""16943539"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/14/77/31/205625645.jpg"", ""province"": ""Genova"", ""price"": 90000.0, ""address"": ""Via Fieschi"", ""externalReference"": ""(2495258)"", ""distance"": ""155"", ""url"": ""https://www.idealista.it/immobile/16943539/"", ""country"": ""it"", ""priceByArea"": 3600.0, ""showAddress"": false}",8.936981,44.405394
15736910,"{""status"": ""good"", ""has360"": false, ""bathrooms"": 2, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 6, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": false, ""size"": 145.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento in Via fieschi s.c.n""}, ""district"": ""Centro Est"", ""floor"": ""1"", ""numPhotos"": 10, ""hasVideo"": false, ""propertyCode"": ""15736910"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3c/7c/9f/182762948.jpg"", ""province"": ""Genova"", ""price"": 280000.0, ""address"": ""Via fieschi s.c.n"", ""distance"": ""162"", ""url"": ""https://www.idealista.it/immobile/15736910/"", ""country"": ""it"", ""priceByArea"": 1931.0, ""showAddress"": true}",8.93627,44.404727
17510485,"{""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 6, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": true, ""size"": 120.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento in Piazza Santa Maria in Via Lata s.c.n""}, ""district"": ""Centro Est"", ""floor"": ""6"", ""numPhotos"": 20, ""hasVideo"": false, ""propertyCode"": ""17510485"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/98/42/2a/217199148.jpg"", ""province"": ""Genova"", ""price"": 440000.0, ""address"": ""Piazza Santa Maria in Via Lata s.c.n"", ""externalReference"": ""01-Lata 120mq"", ""distance"": ""168"", ""url"": ""https://www.idealista.it/immobile/17510485/"", ""country"": ""it"", ""priceByArea"": 3667.0, ""showAddress"": true}",8.93641,44.403535
13422540,"{""status"": ""renew"", ""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 4, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": false, ""size"": 96.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento in Via fieschi s.c.n""}, ""district"": ""Centro Est"", ""floor"": ""4"", ""numPhotos"": 11, ""hasVideo"": false, ""propertyCode"": ""13422540"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/76/ec/00/132408242.jpg"", ""parkingSpace"": {""hasParkingSpace"": true, ""isParkingSpaceIncludedInPrice"": true}, ""province"": ""Genova"", ""price"": 155000.0, ""address"": ""Via fieschi s.c.n"", ""externalReference"": ""(54358879)"", ""distance"": ""170"", ""url"": ""https://www.idealista.it/immobile/13422540/"", ""country"": ""it"", ""priceByArea"": 1615.0, ""showAddress"": true}",8.936082,44.404396
17687261,"{""status"": ""good"", ""has360"": false, ""bathrooms"": 1, ""has3DTour"": false, ""hasLift"": false, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 2, ""exterior"": false, ""neighborhood"": ""San Vincenzo-Portoria"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": false, ""size"": 40.0, ""suggestedTexts"": {""subtitle"": ""San Vincenzo-Portoria, Genova"", ""title"": ""Appartamento in Vico san vincenzo""}, ""district"": ""Centro Est"", ""floor"": ""1"", ""numPhotos"": 18, ""hasVideo"": false, ""propertyCode"": ""17687261"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/b7/34/47/221093016.jpg"", ""province"": ""Genova"", ""price"": 105000.0, ""address"": ""Vico san vincenzo"", ""externalReference"": ""V034 (1373658)"", ""distance"": ""172"", ""url"": ""https://www.idealista.it/immobile/17687261/"", ""country"": ""it"", ""priceByArea"": 2625.0, ""showAddress"": false}",8.940398,44.404459
17727323,"{""status"": ""good"", ""has360"": false, ""bathrooms"": 2, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 6, ""exterior"": false, ""neighborhood"": ""Carignano"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": true, ""size"": 100.0, ""suggestedTexts"": {""subtitle"": ""Carignano, Genova"", ""title"": ""Appartamento""}, ""district"": ""Centro Est"", ""floor"": ""7"", ""numPhotos"": 18, ""hasVideo"": false, ""propertyCode"": ""17727323"", ""thumbnail"": ""https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/33/53/8b/221813549.jpg"", ""province"": ""Genova"", ""price"": 420000.0, ""address"": ""quartiere Carignano"", ""externalReference"": ""(2576854)"", ""distance"": ""177"", ""url"": ""https://www.idealista.it/immobile/17727323/"", ""country"": ""it"", ""priceByArea"": 4200.0, ""showAddress"": false}",8.937081,44.405693
16279321,"{""status"": ""good"", ""has360"": false, ""bathrooms"": 2, ""has3DTour"": false, ""hasLift"": true, ""propertyType"": ""flat"", ""municipality"": ""Genova"", ""newDevelopment"": false, ""rooms"": 11, ""exterior"": false, ""neighborhood"": ""San Vincenzo-Portoria"", ""operation"": ""sale"", ""detailedType"": {""typology"": ""flat""}, ""hasPlan"": false, ""size"": 254.0, ""suggestedTexts"": {""subtitle"": ""San Vincenzo-Portoria, Genova"", ""title"": ""Appartamento in Via XX Settembre, Genova, GE s.c.n""}, ""district"": ""Centro Est"", ""floor"": ""5"", ""numPhotos"": 0, ""hasVideo"": false, ""propertyCode"": ""16279321"", ""province"": ""Genova"", ""price"": 420000.0, ""address"": ""Via XX Settembre, Genova, GE s.c.n"", ""distance"": ""188"", ""url"": ""https://www.idealista.it/immobile/16279321/"", ""country"": ""it"", ""priceByArea"": 1654.0, ""showAddress"": true}",8.939601,44.405703
