,index,address,bathrooms,country,detailedType,distance,exterior,externalReference,floor,has360,has3DTour,hasLift,hasPlan,hasVideo,latitude,longitude,municipality,newDevelopment,numPhotos,operation,parkingSpace,price,priceByArea,propertyCode,propertyType,province,rooms,showAddress,size,status,suggestedTexts,thumbnail,url
243,43,Corso VITTORIO EMANUELE,2,it,"{'typology': 'flat', 'subTypology': 'duplex'}",594787,False,,1,False,False,False,False,False,41.2626246,13.7484005,Minturno,False,17,sale,,47000.0,235.0,18027384,duplex,Latina,8,False,200.0,good,"{'subtitle': 'Minturno', 'title': 'Dúplex en Corso VITTORIO EMANUELE'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/81/e0/04/227574416.jpg,https://www.idealista.it/immobile/18027384/
244,44,Minturno,2,it,"{'typology': 'chalet', 'subTypology': 'villa'}",594783,False,V/97 (72989018),,False,False,,False,False,41.26058,13.74467,Minturno,False,7,sale,,155000.0,1123.0,16768782,chalet,Latina,3,False,138.0,renew,"{'subtitle': 'Minturno', 'title': 'Villa'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/bd/52/8c/203644832.jpg,https://www.idealista.it/immobile/16768782/
245,45,Via lungomare s/n,1,it,{'typology': 'flat'},594774,False,01-151,en,False,False,,False,False,41.2479071,13.7217876,Minturno,False,7,sale,,200000.0,3333.0,12038517,flat,Latina,3,True,60.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Via lungomare s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/93/a3/1c/111071246.jpg,https://www.idealista.it/immobile/12038517/
246,46,Montenero di Bisaccia,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594774,False,rif 225,,False,False,,False,False,41.957475,14.781885,Montenero di Bisaccia,False,19,sale,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",135000.0,587.0,13698985,chalet,Campobasso,10,False,230.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3f/59/ef/226062308.jpg,https://www.idealista.it/immobile/13698985/
247,47,Vico Garibaldi s/n,1,it,{'typology': 'flat'},594768,False,A263,bj,False,False,False,False,False,41.2638299,13.7501621,Minturno,False,18,sale,,78000.0,1114.0,13310213,flat,Latina,3,True,70.0,good,"{'subtitle': 'Minturno', 'title': 'Piso en Vico Garibaldi s/n'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/24/7e/b8/130421167.jpg,https://www.idealista.it/immobile/13310213/
248,48,Minturno,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594762,False,A145VRG,,False,False,,False,False,41.2658732,13.7536861,Minturno,False,20,sale,,150000.0,1220.0,17676522,chalet,Latina,4,False,123.0,,"{'subtitle': 'Minturno', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/68/92/96/220910216.jpg,https://www.idealista.it/immobile/17676522/
249,49,Minturno,1,it,"{'typology': 'countryHouse', 'subTypology': 'casaDePueblo'}",594761,False,,,False,False,,False,False,41.2661732,13.7541861,Minturno,False,11,sale,,48000.0,480.0,17660404,countryHouse,Latina,4,False,100.0,renew,"{'subtitle': 'Minturno', 'title': 'Casa de pueblo'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/3f/79/01/220569559.jpg,https://www.idealista.it/immobile/17660404/
250,0,Santi Cosma e Damiano,2,it,{'typology': 'flat'},594761,False,01-449,bj,False,False,,False,False,41.2997388,13.813301,Santi Cosma e Damiano,False,13,sale,,75000.0,750.0,12038697,flat,Latina,4,False,100.0,,"{'subtitle': 'Santi Cosma e Damiano', 'title': 'Piso'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/4b/90/ee/111077659.jpg,https://www.idealista.it/immobile/12038697/
251,1,Montenero di Bisaccia,2,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594758,False,rif 302 (54318885),,False,False,,False,False,41.9552907,14.7789026,Montenero di Bisaccia,False,9,sale,,40000.0,400.0,13698970,chalet,Campobasso,6,False,100.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/69/f7/63/154684032.jpg,https://www.idealista.it/immobile/13698970/
252,2,Montenero di Bisaccia,1,it,"{'typology': 'chalet', 'subTypology': 'independantHouse'}",594753,False,rif.107 (54390139),,False,False,,False,False,41.955846,14.779505,Montenero di Bisaccia,False,9,sale,,35000.0,500.0,13698984,chalet,Campobasso,4,False,70.0,good,"{'subtitle': 'Montenero di Bisaccia', 'title': 'Casa independiente'}",https://img3.idealista.it/blur/WEB_LISTING/0/id.pro.it.image.master/7f/8a/d5/154685336.jpg,https://www.idealista.it/immobile/13698984/
