key
name:mk 
light:count 
shop massage
gns_uni 
shop butcher
name:lt 
name:ko 
building:units 
roof:height 
name:kn 
highway mini_roundabout
name:ka 
power switch
switch 
name:ja-Latn 
url 
shop photo
name:it 
ref 
name:hy 
railway:signal:main:form 
name:fr 
name:eu 
embankment 
place square
tram yes
name:etymology:wikidata 
fire_hydrant:diameter 
site_type tumulus
rednap:latitud 
name:el 
massgis:ASSESS_LOT 
maritime 
contact:instagram 
railway:position:exact 
railway:preferred_direction 
name:ar 
man_made groyne
ski no
sangis:OBJECTID 
practicability 
seamark:buoy_lateral:system 
mtb:scale:imba 
mtb:scale 
mtb 
rating 
motorroad 
rcn yes
motorcycle 
HU:ed_direction 
mml:class 
colour 
place locality
minspeed 
military 
metcouncil:nroutes 
metcouncil:corner_loc 
bicycle yes
metcouncil:city_id 
route bus
seamark:topmark:shape 
railway:signal:minor:height 
memorial:type 
median 
genus Populus
osmc:symbol 
maxspeed:hgv 
maxstay 
maxspeed:forward 
maxspeed:advisory 
mooring 
distance 
landuse conservation
material 
traffic_sign:backward 
massgis:way_id 
man_made pipeline
memorial:addr 
massgis:PRIM_PURP 
cables 
power minor_line
massgis:POLY_ID 
massgis:POLY_CODE 
massgis:PALIS_ID 
protection_title 
is_in:municipality 
passenger_lines 
massgis:OS_ID 
plant:output:electricity 
species:fr 
amenity courthouse
boundary administrative
noexit 
massgis:OS_DEED_BO 
toll:hgv 
massgis:OBJECTID 
massgis:LEV_PROT 
maxspeed:trailer 
massgis:SITE_NAME 
colour blue
massgis:FEESYM 
massgis:DCAM_ID 
gauge 1520
import freemapkapor
massgis:ASSESS_MAP 
metcouncil:site_on 
mapper 
map 
design barrel
manhole 
male 
building:type 
genus Prunus
lojic:bgnum 
survey_point:zh 
local_code 
loc_name 
map_size region
mofa 
hgv:national_network 
rednap:longitud 
FLATE 
siruta:county 
building farm_auxiliary
artwork_type sculpture
light:colour 
recycling:cans 
shop alcohol
name_2 
circuits 
name:nl 
adot_name 
seamark:light:period 
shop hardware
lamp_flames 
ref_catastral 
snowplowing 
board_type 
designation public_footpath
chile:region 
building terrace
check_date 
door 
pump 
canvec:CODE 
sorting_name 
railway station
canoe 
gtfs_id 
cuisine italian
sport athletics
KSJ2:river_id 
camera:type 
camera:direction 
seamark:kystverket:reference 
boundary 
castle_type 
bunker_type 
damage:review_date 
fireplace 
to 
network VOR
location outdoor
capacity:persons 
motor_vehicle 
building:structure 
ssr:stedsnr 
shop tailor
frequency 
hgv:state_network 
landcover trees
building:ruian:type 
building:place 
building:levels:underground 
toilets:wheelchair 
KSJ2:ARE 
building:fireproof 
clc:code 
leaf_cycle 
contact:phone 
building:cladding 
construction tertiary
railway:etcs 
lamp_type 
destination 
note:city 
motor_vehicle yes
odbl 
board_type notice
maxspeed:hgv:conditional 
manufacturer:type 
amenity childcare
shop motorcycle
LandPro08:LC 
length_unit km
design delta
boat 
drive_through 
fence_type metal
leisure playground
sloped_curb yes
bicycle_parking 
seamark:topmark:colour 
dataset 
basin 
maxheight 
moped 
railway:traffic_mode 
tunnel yes
building 
dcgis:lot 
bench yes
man_made silo
building damaged
name:en 
maaamet:ETAK 
backup_generator 
backrest 
population 
rotor:diameter 
ford 
restriction only_straight_on
axle_load 
KSJ2:PubFacAdmin 
toll:N3 
authoritative 
gnis:created 
place 
is_in:country 
tourism hostel
KSJ2:lake_id 
railway halt
clothes 
atm 
Shape_Area 
roof 
piste:oneway 
diet:vegetarian 
generator:place 
artist_name 
teryt:stan_na 
seasonal yes
change:lanes:backward 
lanes:forward 
architect 
brand:en 
admin_level 7
animal 
aeroway hangar
dog 
shape:elevation 
reservoir_type 
name:th 
building church
Province 
logainm:ref 
fuel:octane_98 
amenity 
name:ja_rm 
catmp-RoadID 
fuel:octane_92 
note:es 
tactile_paving no
name:ro 
name:ar1 
fog 
alt_name:en 
note:lanes 
roof:angle 
construction motorway
opening_date 
agricultural 
leisure sauna
railway:signal:distant:form 
office yes
cutting 
amenity veterinary
farmland 
building:roof 
fee no
alt_name 
metcouncil:sat_trips 
station subway
crossing:light 
KSJ2:LOC 
building:foundation_height 
smoothness good
oneway:bicycle 
house terraced
amenity theatre
accuracy:meters 
massgis:SOURCE_MAP 
aeroway 
tunnel no
building chapel
healthcare dentist
drinking_water 
parking underground
building collapsed
maxspeed:lanes 
incline up
cutline 
supervised yes
mvdgis:cod_nombre 
shop chemist
tourism alpine_hut
button_operated 
foot permissive
crossing 
redwood_city_ca:addr_id 
cemetery 
narrow 
amenity parking_space
object:country 
waterway drain
tourism camp_site
old_ref 
CONCELHO 
natural saddle
second_hand 
foot destination
fuel:lpg 
service 
building_status 
voltage 10000
acres 
lamp_model:de 
manufacturer 
waterway:llid 
recycling:plastic_bottles 
recycling:plastic_packaging 
man_made street_cabinet
destination:backward 
building storage_tank
shop outdoor
lacounty:bld_id 
name:left 
route railway
tourism viewpoint
massgis:SOURCE_SCA 
diameter_crown 2
landuse reservoir
Rzedna_osi 
KSJ2:lat 
bicycle use_sidepath
currency:EUR 
maxspeed:practical 
hov 
colour:arrow 
post_box:type 
leaf_cycle semi_deciduous
delivery 
abandoned:building 
building greenhouse
construction secondary
access no
tourism 
natural peak
railway buffer_stop
DISTRITO 
dispensing 
direction 
roundtrip 
building:type:pl 
vehicle agricultural
amenity grit_bin
arpav_codice_bacino 
fire_hydrant:housenumber 
is_in:continent 
foot 
building:adjacency 
